track_id_atualizado,track_name_clean,artist_s__name_clean,count_songs,artist_count,data_de_lancamento,streams,in_spotify_charts,in_spotify_playlists,in_apple_charts,in_apple_playlists,in_deezer_charts,in_deezer_playlists,total_participation_in_playlist,bpm,danceability__,valence__,energy__,acousticness__,instrumentalness__,liveness__,speechiness__,terciles_streams,categoria_streams,terciles_bpm,categoria_bpm,terciles_danceability,categoria_danceability,terciles_valence,categoria_valence,terciles_energy,categoria_energy,terciles_acousticness,categoria_acousticness,terciles_instrumentalness,categoria_instrumentalness,terciles_liveness,categoria_liveness,terciles_speechiness,categoria_speechiness
4458161,radio,lana del rey,3,1,2011-01-01,284819874,46,9389,122,24,3,282,9695,150,42,20,86,21,0,9,9,2,medio,3,alto,1,baixo,1,baixo,3,alto,2,medio,2,medio,1,baixo,3,alto
5243367,say yes to heaven,lana del rey,3,1,2023-03-17,127567540,46,2000,105,49,1,63,2112,100,49,17,35,71,9,11,3,1,baixo,1,baixo,1,baixo,1,baixo,1,baixo,3,alto,3,alto,2,medio,1,baixo
8365464,take two,bts,8,1,2023-06-09,118482347,47,674,106,20,4,25,719,93,62,57,59,3,0,38,3,1,baixo,1,baixo,2,medio,2,medio,2,medio,1,baixo,3,alto,3,alto,1,baixo
6247887,lala,myke towers,1,1,2023-03-23,133716286,48,1474,126,48,14,58,1580,92,71,61,74,7,0,10,4,1,baixo,1,baixo,2,medio,2,medio,3,alto,1,baixo,1,baixo,1,baixo,1,baixo
4386478,where she goes,bad bunny,19,1,2023-05-18,303236322,50,3133,133,84,15,87,3304,144,65,23,80,14,63,11,6,2,medio,3,alto,2,medio,1,baixo,3,alto,2,medio,3,alto,2,medio,2,medio
1216337,summertime sadness,lana del rey,3,1,2011-01-01,983637508,52,20333,143,89,3,1632,22054,112,56,24,66,7,0,12,3,3,alto,2,medio,1,baixo,1,baixo,2,medio,1,baixo,2,medio,2,medio,1,baixo
3921634,blank space,taylor swift,34,1,2014-01-01,1355959075,53,11434,123,154,2,410,11998,96,75,57,68,9,0,13,6,3,alto,1,baixo,2,medio,2,medio,2,medio,2,medio,2,medio,2,medio,2,medio
7159285,makeba,jain,1,1,2015-06-22,165484133,53,6060,148,150,22,2703,8913,116,82,40,66,39,51,25,7,1,baixo,2,medio,3,alto,2,medio,2,medio,3,alto,3,alto,3,alto,2,medio
8408827,someone you loved,lewis capaldi,3,1,2018-11-08,2887241814,53,17836,125,440,0,1800,20076,110,50,45,41,75,0,11,3,3,alto,2,medio,1,baixo,2,medio,1,baixo,3,alto,1,baixo,2,medio,1,baixo
8502696,riptide,vance joy,1,1,1975-01-01,2009094673,55,31123,65,300,1,1003,32426,102,48,50,73,43,0,15,4,3,alto,1,baixo,1,baixo,2,medio,2,medio,3,alto,2,medio,2,medio,1,baixo
7016313,super shy,newjeans,6,1,2023-07-07,58255150,55,422,202,37,5,21,480,150,78,52,82,18,0,15,7,1,baixo,3,alto,3,alto,2,medio,3,alto,2,medio,1,baixo,2,medio,2,medio
8346039,antihero,taylor swift,34,1,2022-10-21,999748277,56,9082,142,242,9,165,9489,97,64,51,63,12,0,19,5,3,alto,1,baixo,2,medio,2,medio,2,medio,2,medio,1,baixo,3,alto,2,medio
4890110,people,libianca,1,1,2022-12-02,373199958,56,3506,64,105,8,169,3780,198,59,71,42,55,0,10,7,2,medio,3,alto,1,baixo,3,alto,1,baixo,3,alto,2,medio,1,baixo,2,medio
5667205,tattoo,loreen,1,1,2023-02-25,201660859,59,2988,102,74,18,145,3207,150,55,30,78,24,0,12,8,2,medio,3,alto,1,baixo,1,baixo,3,alto,2,medio,3,alto,2,medio,2,medio
3461847,it goes like nanana  edit,peggy gou,1,1,2023-06-15,57876440,59,2259,0,0,17,109,2368,130,67,96,88,12,19,8,4,1,baixo,2,medio,2,medio,3,alto,3,alto,2,medio,3,alto,1,baixo,1,baixo
